Date, Open, High, Low, Close
08/02/24, 1024.54, 1036.59, 1001.97, 1018.46
08/01/24, 991.06, 1011.55, 989.21, 1010.91
07/31/24, 987.57, 990.71, 980.99, 988.09
07/30/24, 974.66, 987.14, 974.09, 986.61
07/29/24, 973.09, 979.30, 966.71, 976.30
07/26/24, 965.43, 975.02, 964.81, 971.41
07/25/24, 972.24, 982.84, 957.62, 961.36
07/24/24, 956.86, 970.59, 955.67, 968.17
07/23/24, 955.90, 956.98, 951.30, 951.83
07/22/24, 951.84, 958.56, 950.60, 957.34
07/19/24, 953.98, 954.28, 945.62, 950.85
07/18/24, 950.87, 964.42, 950.23, 950.89
07/17/24, 941.45, 961.59, 941.45, 954.17
07/16/24, 934.77, 941.04, 932.78, 940.52
07/15/24, 940.00, 940.00, 928.75, 929.85
07/12/24, 941.72, 952.18, 940.46, 945.58
07/11/24, 922.69, 941.04, 922.69, 938.72
07/10/24, 911.53, 918.89, 907.73, 918.50
07/09/24, 903.53, 913.09, 902.43, 908.84
07/08/24, 907.73, 908.80, 902.73, 904.61
07/05/24, 904.97, 911.15, 901.78, 907.87
07/03/24, 903.93, 912.56, 903.27, 903.97
07/02/24, 900.58, 905.09, 899.69, 903.18
07/01/24, 910.21, 914.71, 897.35, 898.82
06/28/24, 913.57, 913.84, 901.85, 906.67
06/27/24, 909.70, 913.77, 906.12, 912.53
06/26/24, 905.69, 911.73, 900.87, 910.34
06/25/24, 921.50, 921.59, 908.13, 909.40
06/24/24, 910.42, 925.30, 909.69, 922.50
06/21/24, 912.77, 919.86, 908.62, 909.46
06/20/24, 908.76, 917.00, 907.38, 913.00
06/18/24, 904.39, 909.71, 901.81, 908.54
06/17/24, 913.38, 917.02, 906.67, 908.81
06/14/24, 912.93, 917.23, 908.87, 916.73
06/13/24, 915.05, 920.68, 908.72, 917.14
06/12/24, 928.44, 931.54, 913.28, 915.26
06/11/24, 917.87, 921.32, 912.96, 919.86
06/10/24, 919.52, 926.45, 915.55, 924.99
06/07/24, 920.37, 927.76, 918.23, 920.12
06/06/24, 932.60, 939.44, 928.19, 929.09
06/05/24, 941.88, 941.88, 932.73, 934.59
06/04/24, 937.95, 947.16, 934.53, 943.96
06/03/24, 946.47, 948.34, 937.93, 940.19
05/31/24, 924.80, 947.42, 924.58, 946.42
05/30/24, 913.94, 923.00, 912.50, 922.82
05/29/24, 916.41, 916.41, 909.15, 911.03
05/28/24, 925.98, 932.89, 920.55, 921.46
05/24/24, 925.31, 928.97, 922.16, 926.11
05/23/24, 940.39, 940.39, 923.82, 924.19
05/22/24, 950.59, 954.54, 943.61, 945.03
05/21/24, 950.13, 957.29, 948.06, 955.01
05/20/24, 952.07, 952.24, 947.52, 949.92
05/17/24, 949.88, 951.96, 944.41, 951.42
05/16/24, 949.24, 954.64, 948.14, 949.96
05/15/24, 949.12, 953.62, 947.50, 949.62
05/14/24, 945.18, 947.61, 936.88, 940.47
05/13/24, 943.44, 949.66, 939.90, 941.01
05/10/24, 945.46, 946.50, 939.06, 942.35
05/09/24, 933.64, 943.67, 930.98, 943.19
05/08/24, 927.50, 935.53, 924.54, 934.92
05/07/24, 922.94, 930.56, 919.04, 929.86
05/06/24, 915.95, 918.88, 910.13, 918.35
05/03/24, 914.22, 917.75, 905.98, 914.31
05/02/24, 906.00, 909.14, 898.93, 908.09
05/01/24, 890.92, 911.49, 888.36, 903.59
04/30/24, 889.91, 899.53, 886.44, 893.03
04/29/24, 888.85, 897.45, 888.85, 896.92
04/26/24, 894.50, 895.94, 884.21, 884.25
04/25/24, 891.54, 898.26, 882.01, 894.58
04/24/24, 878.18, 894.86, 873.41, 892.75
04/23/24, 881.91, 891.24, 880.73, 885.96
04/22/24, 875.44, 885.91, 870.93, 883.33
04/19/24, 861.39, 877.70, 861.39, 875.61
04/18/24, 856.67, 862.45, 850.62, 860.30
04/17/24, 840.33, 854.68, 839.71, 853.35
04/16/24, 847.04, 847.04, 833.14, 835.53
04/15/24, 858.70, 863.32, 845.30, 848.76
04/12/24, 861.94, 865.01, 850.94, 854.91
04/11/24, 868.85, 869.72, 856.28, 861.38
04/10/24, 869.47, 869.47, 857.01, 864.42
04/09/24, 878.30, 882.04, 875.21, 881.87
04/08/24, 870.42, 877.01, 868.89, 874.93
04/05/24, 866.82, 871.72, 861.02, 869.71
04/04/24, 878.12, 879.54, 864.60, 871.10
04/03/24, 875.18, 876.16, 868.32, 870.84
04/02/24, 874.67, 883.07, 873.76, 875.70
04/01/24, 882.54, 882.54, 869.44, 875.05
03/28/24, 874.92, 883.27, 872.40, 882.24
03/27/24, 855.55, 874.88, 855.55, 874.73
03/26/24, 858.45, 859.28, 849.37, 851.43
03/25/24, 859.69, 861.56, 855.42, 858.56
03/22/24, 863.04, 865.20, 857.26, 858.37
03/21/24, 860.61, 867.65, 858.71, 858.91
03/20/24, 857.58, 863.13, 853.29, 858.72
03/19/24, 854.89, 861.20, 853.28, 859.64
03/18/24, 850.05, 858.28, 846.44, 853.35
03/15/24, 848.65, 855.75, 846.88, 850.29
03/14/24, 857.04, 860.24, 845.60, 851.27
03/13/24, 857.24, 866.36, 857.24, 859.17
03/12/24, 860.16, 863.66, 851.28, 855.47
03/11/24, 856.43, 864.36, 853.62, 864.00
03/08/24, 854.87, 858.68, 849.05, 855.65
03/07/24, 855.43, 858.18, 851.51, 853.14
03/06/24, 848.56, 853.84, 845.31, 849.16
03/05/24, 849.62, 859.98, 838.49, 841.99
03/04/24, 831.08, 849.09, 828.35, 847.31
03/01/24, 838.37, 838.37, 823.79, 833.04
02/29/24, 844.12, 848.44, 837.87, 840.96
02/28/24, 840.91, 845.54, 838.38, 841.37
02/27/24, 837.83, 842.70, 833.67, 842.36
02/26/24, 847.33, 847.33, 830.99, 832.73
02/23/24, 846.63, 854.78, 844.37, 849.05
02/22/24, 848.92, 849.29, 839.07, 845.91
02/21/24, 846.25, 854.97, 844.25, 854.18
02/20/24, 844.57, 854.09, 841.69, 842.42
02/16/24, 843.03, 847.50, 835.97, 844.40
02/15/24, 835.66, 847.24, 835.66, 847.03
02/14/24, 829.99, 835.15, 827.06, 833.40
02/13/24, 842.45, 843.09, 818.74, 829.38
02/12/24, 834.47, 845.18, 832.27, 844.72
02/09/24, 828.86, 835.59, 828.00, 834.43
02/08/24, 835.09, 835.09, 824.79, 831.46
02/07/24, 841.57, 842.45, 832.84, 837.47
02/06/24, 834.38, 840.42, 832.01, 837.90
02/05/24, 845.91, 845.91, 835.64, 836.15
02/02/24, 858.78, 859.80, 843.74, 851.48
02/01/24, 851.19, 867.29, 846.02, 867.03
01/31/24, 860.63, 866.01, 848.01, 853.04
01/30/24, 853.90, 859.63, 847.99, 854.78
01/29/24, 850.64, 859.03, 845.25, 855.87
01/26/24, 850.89, 853.66, 847.17, 849.68
01/25/24, 842.65, 848.79, 836.96, 848.60
01/24/24, 854.01, 855.45, 832.77, 834.09
01/23/24, 848.34, 853.03, 844.50, 849.19
01/22/24, 852.51, 858.91, 845.28, 848.97
01/19/24, 855.44, 857.17, 848.16, 852.54
01/18/24, 859.62, 860.17, 850.07, 854.23
01/17/24, 870.64, 879.09, 857.39, 863.61
01/16/24, 882.70, 884.19, 873.70, 875.64
01/12/24, 884.54, 887.72, 881.71, 885.49
01/11/24, 896.82, 896.82, 876.95, 879.70
01/10/24, 900.80, 903.73, 896.50, 899.39
01/09/24, 901.17, 904.12, 896.43, 900.36
01/08/24, 897.40, 905.18, 894.74, 904.76
01/05/24, 893.86, 902.51, 890.36, 898.67
01/04/24, 898.84, 902.31, 894.58, 895.51
01/03/24, 895.18, 899.40, 889.01, 897.64
01/02/24, 879.61, 895.87, 876.58, 894.26
12/29/23, 879.58, 883.10, 875.77, 881.67
12/28/23, 874.01, 883.56, 873.70, 882.55
12/27/23, 877.61, 879.51, 874.61, 877.29
12/26/23, 872.20, 881.85, 871.59, 878.96
12/22/23, 872.74, 880.93, 871.72, 873.15
12/21/23, 870.02, 875.48, 863.24, 868.86
12/20/23, 883.43, 885.43, 867.45, 867.71
12/19/23, 881.83, 884.81, 878.52, 883.99
12/18/23, 882.90, 888.18, 877.30, 879.57
12/15/23, 893.23, 893.23, 875.35, 881.89
12/14/23, 913.10, 917.78, 895.16, 897.16
12/13/23, 876.97, 907.78, 871.99, 907.18
12/12/23, 879.63, 879.63, 869.94, 875.92
12/11/23, 871.05, 879.33, 868.46, 878.11
12/08/23, 877.66, 879.44, 869.28, 874.02
12/07/23, 880.61, 885.02, 873.91, 878.32
12/06/23, 869.40, 879.49, 869.40, 879.33
12/05/23, 874.80, 875.02, 863.94, 866.99
12/04/23, 870.59, 880.29, 868.02, 874.77
12/01/23, 867.02, 876.06, 861.81, 876.01
11/30/23, 864.76, 867.86, 858.17, 866.76
11/29/23, 869.11, 872.74, 859.73, 862.47
11/28/23, 865.68, 874.58, 862.51, 867.83
11/27/23, 866.14, 868.61, 859.77, 865.51
11/24/23, 862.75, 865.98, 859.33, 865.98
11/22/23, 862.95, 863.94, 856.73, 863.05
11/21/23, 860.32, 863.31, 853.26, 860.52
11/20/23, 859.00, 862.82, 848.75, 860.01
11/17/23, 865.81, 866.72, 858.89, 863.50
11/16/23, 863.95, 868.91, 861.11, 862.61
11/15/23, 858.63, 869.27, 855.71, 857.73
11/14/23, 845.54, 860.05, 844.40, 859.83
11/13/23, 835.82, 837.54, 826.40, 827.37
11/10/23, 840.35, 841.14, 833.34, 837.98
11/09/23, 842.30, 847.67, 834.68, 835.20
11/08/23, 844.21, 844.21, 833.58, 841.83
11/07/23, 855.57, 857.10, 846.98, 848.32
11/06/23, 860.38, 862.53, 853.87, 854.33
11/03/23, 864.51, 869.80, 859.83, 860.05
11/02/23, 836.21, 854.75, 834.96, 850.92
11/01/23, 825.62, 838.41, 817.18, 833.02
10/31/23, 818.96, 824.52, 815.35, 823.92
10/30/23, 816.43, 822.78, 808.77, 816.34
10/27/23, 824.27, 828.73, 809.55, 812.89
10/26/23, 823.22, 835.54, 822.97, 828.45
10/25/23, 816.53, 822.98, 813.43, 820.88
10/24/23, 811.76, 822.39, 809.49, 819.27
10/23/23, 799.93, 812.93, 795.23, 801.98
10/20/23, 816.67, 823.06, 806.89, 807.15
10/19/23, 822.29, 829.15, 815.36, 816.63
10/18/23, 831.03, 834.83, 818.78, 824.34
10/17/23, 827.90, 836.26, 825.63, 832.27
10/16/23, 827.00, 835.93, 820.21, 833.24
10/13/23, 821.72, 830.65, 819.54, 824.56
10/12/23, 826.32, 830.45, 810.15, 817.19
10/11/23, 822.60, 830.70, 817.29, 829.75
10/10/23, 810.49, 819.71, 810.31, 818.82
10/09/23, 799.46, 810.42, 797.66, 810.30
10/06/23, 782.40, 801.87, 768.67, 800.14
10/05/23, 791.92, 794.22, 782.18, 790.23
10/04/23, 792.45, 795.43, 778.93, 794.08
10/03/23, 777.95, 792.45, 765.47, 789.37
10/02/23, 813.29, 813.29, 776.25, 783.08
09/29/23, 821.32, 827.90, 810.99, 816.55
09/28/23, 835.51, 836.65, 813.99, 815.53
09/27/23, 843.39, 845.86, 830.16, 832.13
09/26/23, 866.55, 867.43, 842.82, 844.84
09/25/23, 867.77, 870.16, 862.03, 869.60
09/22/23, 871.88, 876.94, 867.62, 871.27
09/21/23, 885.35, 886.38, 874.22, 874.36
09/20/23, 888.84, 896.30, 883.78, 886.72
09/19/23, 889.80, 892.74, 885.18, 885.42
09/18/23, 892.73, 893.55, 885.06, 890.71
09/15/23, 896.83, 902.22, 891.54, 892.13
09/14/23, 890.27, 898.41, 889.70, 898.06
09/13/23, 876.83, 890.53, 876.83, 885.69
09/12/23, 874.43, 877.39, 868.28, 875.24
09/11/23, 870.37, 879.19, 870.22, 874.17
09/08/23, 865.78, 872.93, 863.43, 871.75
09/07/23, 857.55, 870.56, 857.32, 864.33
09/06/23, 853.12, 853.81, 847.95, 853.11
09/05/23, 865.40, 866.87, 847.60, 851.44
09/01/23, 876.06, 879.84, 860.00, 866.66
08/31/23, 883.78, 885.39, 872.57, 872.70
08/30/23, 883.84, 889.33, 878.52, 881.92
08/29/23, 881.64, 886.02, 877.74, 884.77
08/28/23, 884.39, 887.73, 879.46, 881.46
08/25/23, 877.29, 886.67, 876.32, 882.70
08/24/23, 879.01, 890.11, 874.16, 874.57
08/23/23, 879.64, 880.91, 873.15, 880.04
08/22/23, 872.21, 878.35, 869.05, 875.70
08/21/23, 877.05, 878.37, 865.88, 873.10
08/18/23, 872.94, 880.68, 872.13, 878.02
08/17/23, 878.31, 887.34, 874.86, 874.91
08/16/23, 875.54, 881.30, 873.30, 877.73
08/15/23, 881.79, 881.92, 872.74, 872.83
08/14/23, 893.19, 893.19, 882.18, 886.96
08/11/23, 889.85, 895.04, 887.36, 894.06
08/10/23, 894.46, 900.57, 886.31, 889.19
08/09/23, 889.48, 900.81, 888.42, 891.73
08/08/23, 887.60, 891.98, 879.13, 891.43
08/07/23, 887.98, 893.92, 886.80, 887.47
08/04/23, 897.84, 904.79, 882.55, 886.07
08/03/23, 919.95, 919.95, 896.05, 896.70
08/02/23, 917.05, 925.64, 915.21, 921.10
08/01/23, 930.35, 935.34, 919.36, 919.75
07/31/23, 934.13, 937.99, 927.08, 931.22
07/28/23, 940.48, 943.54, 928.15, 932.74
07/27/23, 947.45, 950.61, 931.12, 933.88
07/26/23, 946.63, 958.67, 945.04, 948.92
07/25/23, 945.54, 951.40, 942.93, 948.53
07/24/23, 949.25, 951.39, 941.55, 946.34
07/21/23, 938.93, 952.51, 938.28, 948.70
07/20/23, 919.97, 937.73, 917.70, 936.17
07/19/23, 912.43, 925.23, 912.43, 919.77
07/18/23, 916.17, 923.60, 901.97, 909.81
07/17/23, 925.21, 925.96, 916.10, 916.26
07/14/23, 929.20, 930.77, 921.91, 927.55
07/13/23, 926.20, 931.15, 923.36, 931.15
07/12/23, 917.40, 928.81, 915.59, 927.13
07/11/23, 903.59, 914.54, 902.92, 914.43
07/10/23, 904.92, 907.22, 896.60, 902.65
07/07/23, 906.20, 912.08, 902.92, 905.77
07/06/23, 915.49, 915.49, 906.36, 911.29
07/05/23, 909.02, 929.45, 908.27, 922.21
07/03/23, 903.41, 912.54, 901.21, 912.39
06/30/23, 897.65, 907.54, 897.44, 906.66
06/29/23, 890.02, 902.07, 888.09, 896.92
06/28/23, 910.77, 910.77, 894.43, 896.55
06/27/23, 909.17, 912.80, 907.00, 910.67
06/26/23, 903.91, 912.74, 899.16, 908.03
06/23/23, 918.84, 922.15, 901.49, 902.46
06/22/23, 925.85, 927.78, 913.58, 917.06
06/21/23, 913.79, 924.76, 904.32, 923.91
06/20/23, 924.16, 925.21, 913.36, 916.26
06/16/23, 921.61, 932.64, 921.61, 924.92
06/15/23, 915.74, 923.46, 912.22, 921.28
06/14/23, 913.95, 922.03, 909.49, 911.50
06/13/23, 907.06, 914.89, 905.33, 911.47
06/12/23, 916.70, 917.49, 908.25, 912.92
06/09/23, 920.50, 921.64, 913.84, 915.24
06/08/23, 916.41, 922.24, 910.20, 920.85
06/07/23, 904.02, 920.46, 896.94, 918.29
06/06/23, 907.03, 909.88, 900.20, 902.49
06/05/23, 900.47, 913.70, 900.11, 904.22
06/02/23, 886.40, 902.97, 883.53, 900.04
06/01/23, 901.38, 901.51, 886.21, 890.84
05/31/23, 893.60, 904.14, 888.08, 900.37
05/30/23, 895.23, 900.76, 890.71, 892.39
05/26/23, 895.07, 895.07, 885.37, 893.80
05/25/23, 906.32, 906.32, 890.00, 895.35
05/24/23, 912.44, 915.74, 906.62, 907.70
05/23/23, 913.07, 921.27, 910.78, 913.04
05/22/23, 916.94, 921.78, 911.71, 915.93
05/19/23, 920.26, 925.33, 914.65, 914.83
05/18/23, 917.28, 918.77, 909.38, 916.91
05/17/23, 924.92, 925.72, 917.25, 921.27
05/16/23, 945.92, 946.09, 923.19, 923.49
05/15/23, 962.05, 962.83, 942.09, 945.53
05/12/23, 961.04, 965.91, 953.97, 959.19
05/11/23, 965.39, 966.77, 952.12, 956.30
05/10/23, 965.45, 969.91, 957.51, 966.64
05/09/23, 957.15, 961.31, 951.95, 959.18
05/08/23, 960.88, 967.13, 954.93, 959.32
05/05/23, 953.68, 963.41, 952.04, 962.27
05/04/23, 947.25, 959.86, 941.85, 955.82
05/03/23, 954.49, 958.89, 944.91, 945.73
05/02/23, 960.09, 962.11, 942.60, 948.54
05/01/23, 958.52, 970.64, 957.06, 960.77
04/28/23, 962.09, 967.50, 953.68, 959.61
04/27/23, 955.41, 963.88, 952.70, 963.39
04/26/23, 969.09, 972.76, 953.66, 954.82
04/25/23, 974.53, 979.98, 972.67, 975.39
04/24/23, 969.76, 975.81, 964.36, 974.46
04/21/23, 972.00, 975.76, 963.94, 969.34
04/20/23, 967.99, 969.78, 961.36, 966.78
04/19/23, 960.24, 969.97, 960.24, 966.75
04/18/23, 962.67, 964.94, 954.94, 958.99
04/17/23, 958.23, 963.44, 953.79, 963.07
04/14/23, 960.92, 964.10, 952.17, 956.47
04/13/23, 965.08, 971.35, 949.93, 968.58
04/12/23, 972.98, 977.31, 965.80, 968.68
04/11/23, 968.81, 973.66, 966.06, 971.03
04/10/23, 968.32, 970.24, 956.29, 970.03
04/06/23, 967.55, 972.85, 961.24, 970.79
04/05/23, 944.08, 966.44, 943.71, 963.46
04/04/23, 933.24, 940.49, 930.31, 938.84
04/03/23, 935.82, 940.76, 928.18, 932.75
03/31/23, 934.92, 939.86, 929.94, 939.79
03/30/23, 930.76, 937.64, 926.99, 932.91
03/29/23, 918.43, 929.44, 918.43, 928.83
03/28/23, 910.85, 923.46, 910.36, 914.21
03/27/23, 914.68, 920.80, 909.84, 912.30
03/24/23, 884.01, 910.86, 883.05, 910.67
03/23/23, 888.81, 899.03, 877.48, 882.54
03/22/23, 907.45, 912.14, 890.58, 890.74
03/21/23, 931.06, 932.12, 896.82, 909.10
03/20/23, 925.29, 934.21, 925.29, 931.46
03/17/23, 931.84, 931.84, 917.34, 923.21
03/16/23, 922.76, 937.77, 919.62, 932.09
03/15/23, 910.66, 931.09, 904.95, 925.21
03/14/23, 908.31, 919.56, 903.91, 912.54
03/13/23, 886.76, 922.21, 885.45, 901.08
03/10/23, 903.19, 906.25, 883.45, 887.55
03/09/23, 912.58, 920.47, 899.20, 902.02
03/08/23, 903.68, 913.87, 900.81, 911.67
03/07/23, 921.86, 923.51, 900.20, 903.97
03/06/23, 916.61, 924.32, 915.80, 920.07
03/03/23, 905.40, 916.42, 897.00, 916.23
03/02/23, 888.86, 903.79, 885.17, 902.76
03/01/23, 900.47, 901.83, 886.59, 890.69
02/28/23, 919.77, 923.16, 906.72, 906.99
02/27/23, 931.37, 942.09, 920.11, 922.51
02/24/23, 922.27, 931.56, 916.91, 928.44
02/23/23, 936.56, 938.93, 924.92, 929.56
02/22/23, 938.76, 945.48, 932.22, 934.63
02/21/23, 950.55, 950.55, 937.57, 938.87
02/17/23, 943.34, 957.82, 938.28, 953.61
02/16/23, 941.83, 946.11, 928.98, 943.21
02/15/23, 941.69, 950.46, 939.21, 950.07
02/14/23, 949.74, 956.00, 940.44, 945.00
02/13/23, 946.09, 953.65, 946.09, 951.80
02/10/23, 929.65, 946.32, 927.30, 945.77
02/09/23, 942.39, 949.13, 926.77, 927.91
02/08/23, 956.26, 956.26, 937.93, 941.58
02/07/23, 957.38, 960.90, 945.60, 958.18
02/06/23, 950.85, 961.63, 947.76, 961.09
02/03/23, 971.83, 972.04, 941.63, 953.58
02/02/23, 974.56, 987.02, 968.36, 976.42
02/01/23, 967.94, 980.85, 961.24, 973.88
01/31/23, 966.57, 971.31, 955.94, 971.02
01/30/23, 967.00, 974.28, 963.27, 964.11
01/27/23, 965.27, 971.67, 961.63, 967.82
01/26/23, 958.35, 967.36, 956.93, 966.74
01/25/23, 963.51, 963.51, 951.52, 961.81
01/24/23, 964.39, 969.21, 949.17, 966.58
01/23/23, 958.85, 970.17, 952.85, 960.51
01/20/23, 952.63, 960.93, 940.64, 960.60
01/19/23, 960.59, 961.74, 950.94, 953.22
01/18/23, 989.03, 989.57, 960.08, 961.52
01/17/23, 989.06, 995.97, 985.46, 986.74
01/13/23, 989.89, 991.99, 982.86, 988.60
01/12/23, 1003.30, 1003.30, 992.76, 993.88
01/11/23, 992.38, 1003.67, 991.98, 1002.11
01/10/23, 987.33, 992.46, 979.80, 991.48
01/09/23, 979.54, 995.83, 978.24, 988.42
01/06/23, 966.89, 985.42, 966.89, 981.27
01/05/23, 973.11, 975.71, 957.16, 960.25
01/04/23, 974.09, 988.34, 974.09, 980.42
01/03/23, 969.14, 974.81, 956.69, 970.68
12/30/22, 977.75, 977.92, 958.51, 967.40
12/29/22, 976.50, 983.21, 975.55, 977.83
12/28/22, 984.09, 987.99, 971.70, 973.40
12/27/22, 976.22, 984.36, 971.57, 982.37
12/23/22, 964.09, 976.02, 963.25, 975.58
12/22/22, 968.40, 968.40, 949.07, 966.24
12/21/22, 961.90, 970.90, 960.02, 970.48
12/20/22, 960.38, 963.21, 953.10, 958.49
12/19/22, 962.27, 969.77, 953.88, 959.70
12/16/22, 980.11, 980.11, 952.76, 963.24
12/15/22, 992.06, 992.65, 978.14, 981.87
12/14/22, 998.92, 1011.06, 988.84, 994.79
12/13/22, 1003.09, 1013.30, 985.98, 997.14
12/12/22, 978.14, 994.36, 974.35, 994.16
12/09/22, 974.13, 981.04, 972.93, 974.31
12/08/22, 972.08, 980.41, 969.16, 977.54
12/07/22, 977.76, 985.36, 969.43, 972.78
12/06/22, 970.48, 979.28, 969.35, 978.96
12/05/22, 971.40, 972.67, 966.98, 970.23
12/02/22, 970.58, 978.24, 966.11, 975.79
12/01/22, 986.81, 994.69, 977.36, 980.28
11/30/22, 954.59, 982.36, 953.89, 981.30
11/29/22, 957.70, 957.70, 950.55, 955.79
11/28/22, 968.48, 969.08, 957.36, 961.88
11/25/22, 968.83, 974.39, 968.47, 972.06
11/23/22, 951.17, 966.19, 951.10, 965.64
11/22/22, 950.16, 959.66, 946.87, 953.00
11/21/22, 938.32, 949.45, 938.32, 945.37
11/18/22, 923.57, 940.60, 923.57, 939.33
11/17/22, 926.60, 927.28, 913.94, 918.18
11/16/22, 927.79, 941.68, 927.79, 935.51
11/15/22, 924.05, 933.04, 916.63, 927.18
11/14/22, 927.63, 933.58, 918.81, 918.81
11/11/22, 938.54, 939.57, 917.35, 927.43
11/10/22, 909.78, 940.18, 909.39, 939.14
11/09/22, 901.90, 904.86, 893.63, 895.05
11/08/22, 896.95, 908.33, 894.37, 903.30
11/07/22, 911.16, 911.43, 880.25, 894.53
11/04/22, 909.02, 915.37, 897.04, 913.01
11/03/22, 898.61, 913.48, 890.49, 906.86
11/02/22, 911.75, 929.02, 904.27, 904.59
11/01/22, 917.77, 918.78, 906.89, 913.87
10/31/22, 920.39, 921.65, 907.95, 913.44
10/28/22, 899.03, 922.39, 899.03, 921.17
10/27/22, 894.06, 906.27, 893.89, 896.78
10/26/22, 892.71, 897.98, 884.63, 888.79
10/25/22, 873.11, 890.41, 873.11, 888.77
10/24/22, 870.60, 878.66, 863.67, 872.10
10/21/22, 851.44, 870.16, 845.52, 864.47
10/20/22, 869.31, 869.67, 845.99, 849.28
10/19/22, 869.93, 875.97, 864.09, 870.88
10/18/22, 876.39, 885.10, 871.94, 879.66
10/17/22, 857.87, 873.97, 857.87, 865.50
10/14/22, 868.87, 875.36, 844.04, 847.11
10/13/22, 829.42, 863.33, 823.64, 860.61
10/12/22, 864.61, 864.80, 838.80, 838.99
10/11/22, 863.21, 877.27, 860.02, 866.66
10/10/22, 864.82, 875.32, 864.82, 866.26
10/07/22, 880.46, 881.55, 857.72, 863.43
10/06/22, 905.76, 906.22, 880.74, 881.75
10/05/22, 922.40, 922.40, 901.95, 909.40
10/04/22, 918.41, 934.90, 916.04, 933.20
10/03/22, 905.12, 920.28, 898.29, 914.79
09/30/22, 910.96, 913.72, 887.07, 888.47
09/29/22, 939.90, 940.66, 905.05, 906.00
09/28/22, 942.99, 950.35, 933.45, 944.84
09/27/22, 959.55, 959.71, 930.70, 934.23
09/26/22, 975.64, 977.46, 944.69, 953.48
09/23/22, 984.43, 984.43, 966.30, 978.52
09/22/22, 992.57, 997.59, 985.04, 990.92
09/21/22, 1013.59, 1023.44, 995.06, 995.14
09/20/22, 1018.62, 1018.62, 1001.32, 1008.51
09/19/22, 1010.88, 1024.95, 1006.78, 1024.62
09/16/22, 1015.51, 1020.19, 1011.06, 1012.86
09/15/22, 1034.88, 1034.88, 1014.07, 1015.98
09/14/22, 1032.80, 1048.19, 1032.72, 1041.56
09/13/22, 1054.08, 1054.44, 1027.68, 1032.47
09/12/22, 1051.36, 1063.15, 1049.76, 1061.77
09/09/22, 1049.33, 1056.70, 1043.37, 1050.33
09/08/22, 1043.40, 1051.98, 1040.55, 1046.29
09/07/22, 1016.83, 1048.45, 1016.83, 1047.29
09/06/22, 1016.13, 1028.62, 1011.32, 1013.63
09/02/22, 1026.15, 1037.46, 1010.95, 1014.17
09/01/22, 1008.26, 1025.20, 1006.18, 1024.55
08/31/22, 1018.41, 1024.05, 1008.92, 1009.08
08/30/22, 1031.31, 1032.52, 1014.14, 1017.69
08/29/22, 1023.26, 1038.63, 1016.20, 1031.30
08/26/22, 1045.30, 1046.30, 1026.31, 1026.74
08/25/22, 1038.52, 1043.64, 1033.08, 1043.51
08/24/22, 1034.53, 1038.52, 1030.14, 1037.73
08/23/22, 1040.88, 1040.88, 1030.33, 1034.17
08/22/22, 1052.99, 1052.99, 1038.48, 1040.95
08/19/22, 1056.54, 1060.94, 1051.82, 1056.06
08/18/22, 1054.75, 1061.13, 1053.47, 1057.22
08/17/22, 1051.57, 1057.28, 1048.82, 1053.86
08/16/22, 1048.11, 1056.78, 1046.49, 1053.86
08/15/22, 1041.60, 1052.03, 1038.42, 1050.62
08/12/22, 1029.55, 1041.83, 1029.55, 1041.56
08/11/22, 1028.19, 1035.82, 1023.67, 1025.65
08/10/22, 1028.73, 1030.25, 1020.13, 1027.65
08/09/22, 1018.83, 1026.26, 1018.35, 1023.41
08/08/22, 1018.65, 1026.56, 1010.10, 1015.12
08/05/22, 1019.90, 1022.10, 1004.45, 1013.96
08/04/22, 1025.10, 1031.87, 1020.08, 1021.62
08/03/22, 1017.96, 1028.08, 1003.30, 1025.74
08/02/22, 1026.49, 1032.79, 1018.97, 1019.45
08/01/22, 1021.81, 1025.95, 1014.12, 1023.91
07/29/22, 1014.43, 1028.20, 1013.57, 1024.18
07/28/22, 991.71, 1016.04, 991.13, 1014.35
07/27/22, 980.83, 985.95, 975.77, 983.96
